Category,Prompt Name,Prompt Template
Property Listings,Luxury Property Description,"Write a compelling property listing for a [BEDROOMS]-bedroom, [BATHROOMS]-bathroom home at [ADDRESS]. Key features: [LIST FEATURES]. Target buyer: [BUYER TYPE]. Include emotional language that helps buyers envision living there. Keep it under 200 words."
Property Listings,Condo/Apartment Listing,"Create an engaging listing description for a [SQFT] sq ft condo in [NEIGHBORHOOD]. Amenities include: [LIST AMENITIES]. Highlight the lifestyle benefits and proximity to [NEARBY ATTRACTIONS]. Make it appeal to [TARGET DEMOGRAPHIC]."
Property Listings,Investment Property Pitch,"Write a listing focused on ROI for an investment property at [ADDRESS]. Current rent: $[AMOUNT]/month. Cap rate: [X]%. Include potential rental income, neighborhood growth stats, and why this is a smart investment. Target audience: real estate investors."
Property Listings,First-Time Buyer Property,"Create a warm, welcoming listing for a starter home priced at $[PRICE]. Features: [LIST]. Emphasize affordability, potential, and neighborhood safety. Address common first-time buyer concerns. Include a call-to-action for a showing."
Property Listings,Fixer-Upper Listing,"Write an honest but optimistic listing for a property that needs work at [ADDRESS]. Price: $[AMOUNT]. Good bones include: [POSITIVES]. Needs: [WORK REQUIRED]. Target: flippers and DIY buyers. Emphasize potential ARV (after repair value)."
Property Listings,Waterfront/View Property,"Create a luxury listing that sells the lifestyle for a [PROPERTY TYPE] with [WATER/MOUNTAIN/CITY] views. Focus on: morning coffee scenes, entertainment potential, and exclusivity. Features: [LIST]. Price point: $[AMOUNT]."
Property Listings,Historic Home Listing,"Write a listing for a [YEAR] built historic home that balances charm with modern updates. Original features: [LIST]. Modern upgrades: [LIST]. Address concerns about maintenance while highlighting character and craftsmanship."
Property Listings,New Construction Listing,"Create a listing for a brand-new build in [DEVELOPMENT NAME]. Highlight: warranty, energy efficiency, modern floor plan, customization options still available. [SQFT], [BEDS]/[BATHS]. Completion date: [DATE]."
Property Listings,Downsizer Property,"Write a listing targeting empty nesters for a low-maintenance [PROPERTY TYPE]. Emphasize: single-level living, smaller yard, proximity to amenities, community features. Address the emotional transition of downsizing positively."
Property Listings,Virtual Tour Script,"Write a 2-minute video script for a virtual tour of [ADDRESS]. Start with curb appeal, flow naturally through rooms, highlight [TOP 3 FEATURES], end with neighborhood benefits and call-to-action. Keep energy upbeat but authentic."
Client Communication,New Lead Response,"Write a warm, professional response to a new lead who inquired about [PROPERTY/AREA]. Introduce myself as [YOUR NAME] with [BROKERAGE]. Ask 2-3 qualifying questions about their timeline, budget, and must-haves. Keep it conversational, not salesy."
Client Communication,Buyer Consultation Follow-Up,"Write a follow-up email after an initial buyer consultation with [CLIENT NAME]. Recap: their budget is $[AMOUNT], they want [BEDS] beds in [AREA], timeline is [TIMELINE]. Attach next steps and 3 properties I'll be sending. Show enthusiasm for helping them."
Client Communication,Listing Presentation Follow-Up,"Write a follow-up email to [HOMEOWNER NAME] after a listing presentation. Recap my marketing plan, my commission structure, and why I'm the right agent. Address their concern about [SPECIFIC CONCERN]. Include a soft close for signing."
Client Communication,Price Reduction Conversation,"Write a diplomatic email to my seller [NAME] recommending a price reduction from $[CURRENT] to $[RECOMMENDED]. We've been on market [X] days with [Y] showings. Include market data justification and reassurance that this strategy will generate more interest."
