Category,Prompt Name,Prompt Template
Quotes & Estimates,Initial Quote Email,"Write a professional quote email for [SERVICE: e.g., water heater replacement, electrical panel upgrade, AC installation]. Client: [NAME]. Address: [ADDRESS]. Scope of work: [DESCRIBE]. Quote: $[AMOUNT]. Include: what's included, materials, labor, warranty, timeline, and payment terms. Valid for [X] days."
Quotes & Estimates,Detailed Estimate Breakdown,"Create a detailed estimate breakdown for [PROJECT]. Client: [NAME]. Line items needed: [LIST - labor, materials, permits, disposal, etc.]. Total: $[AMOUNT]. Format it clearly with itemized costs. Include notes on what could affect final price. Professional and transparent."
Quotes & Estimates,Quote Follow-Up,"Write a follow-up email to [CLIENT NAME] who received a quote [X] days ago for [SERVICE] but hasn't responded. Be helpful, not pushy. Offer to answer questions, mention quote expiration if applicable, and leave door open. Keep it brief."
Quotes & Estimates,Competitive Price Response,"Write a response to a client who says my quote ($[MY AMOUNT]) is higher than another contractor's ($[THEIR AMOUNT]). Explain value differences (licensing, insurance, warranty, quality materials, reviews). Don't bash competitors. Help them make an informed decision."
Quotes & Estimates,Change Order Request,"Write a change order document for additional work discovered during [ORIGINAL PROJECT]. Additional work needed: [DESCRIBE]. Additional cost: $[AMOUNT]. Additional time: [X] days. Explain why it's necessary and get client approval before proceeding. Professional format."
Quotes & Estimates,Emergency Service Quote,"Write a quote for emergency service provided to [CLIENT NAME] at [ADDRESS]. Issue: [DESCRIBE]. Service provided: [WHAT YOU DID]. Parts used: [LIST]. Emergency rate: $[AMOUNT]. Regular follow-up work recommended: [IF APPLICABLE]. Clear and fair."
Quotes & Estimates,Maintenance Agreement Proposal,"Write a proposal for an annual maintenance agreement to [CLIENT NAME]. Services included: [LIST - e.g., bi-annual HVAC tune-ups, priority scheduling, discount on repairs]. Annual cost: $[AMOUNT] or $[MONTHLY]/month. Benefits: longer equipment life, fewer emergencies, peace of mind."
Quotes & Estimates,Quote Comparison Chart,"Create a quote comparison explanation for [CLIENT NAME] showing [GOOD/BETTER/BEST] options for [PROJECT]. Option 1: [BASIC - describe and price]. Option 2: [STANDARD - describe and price]. Option 3: [PREMIUM - describe and price]. Explain trade-offs clearly."
Quotes & Estimates,Commercial/Large Project Quote,"Write a formal quote for a commercial project at [BUSINESS NAME]. Project: [DESCRIBE]. Scope: [DETAILED SCOPE]. Timeline: [START] to [END]. Payment schedule: [TERMS]. Include: insurance info, licensing, and terms and conditions. More formal tone."
Quotes & Estimates,Warranty Quote for Return Issue,"Write a response to [CLIENT NAME] reporting an issue with work I completed [X] months ago. Issue: [DESCRIBE]. My assessment: [COVERED UNDER WARRANTY / NOT COVERED AND WHY]. Next steps: [WHAT I'LL DO]. Professional and fair."
