Category,Prompt Name,Prompt Template
Proposals & Pitches,Consulting Proposal,"Write a consulting proposal for [CLIENT COMPANY] seeking help with [PROBLEM/GOAL]. My services: [DESCRIBE]. Engagement scope: [X] weeks/months. Include: executive summary, understanding of their challenge, proposed approach, deliverables, timeline, investment ($[AMOUNT]), and next steps. Professional but personable tone."
Proposals & Pitches,Executive Summary,"Write a compelling 1-page executive summary for a consulting engagement with [CLIENT]. Problem: [DESCRIBE]. My solution: [APPROACH]. Expected outcomes: [LIST]. Investment: $[AMOUNT]. Timeline: [DURATION]. Make it scannable for a busy executive who will spend 60 seconds on this."
Proposals & Pitches,Elevator Pitch,"Create a 30-second elevator pitch for my consulting business. I help [TARGET CLIENT] achieve [OUTCOME] through [METHOD]. Unique value: [DIFFERENTIATOR]. Include a hook, value proposition, and call-to-action. Make it memorable and conversational."
Proposals & Pitches,Cold Outreach Email,"Write a cold outreach email to [TITLE] at [COMPANY TYPE]. I help companies with [PROBLEM]. Include: personalized hook (research-based), brief credibility, value proposition, specific ask (15-min call). Keep it under 150 words. No attachments. Subject line options included."
Proposals & Pitches,Follow-Up Proposal Email,"Write a follow-up email to [CONTACT NAME] at [COMPANY] who received my proposal [X] days ago but hasn't responded. Be professional, not pushy. Add one new piece of value (insight, case study, idea). Clear but soft CTA. Keep the door open."
Proposals & Pitches,Scope of Work Document,"Create a detailed Scope of Work for a consulting project with [CLIENT]. Project: [DESCRIBE]. Include: objectives, deliverables with descriptions, timeline with milestones, client responsibilities, assumptions, out-of-scope items, and change request process."
Proposals & Pitches,Discovery Call Agenda,"Create a discovery call agenda for a prospective client [COMPANY] interested in [SERVICE]. Duration: 30 minutes. Structure: rapport building, understanding their situation, exploring goals, identifying obstacles, explaining my approach, discussing fit, and next steps. Include questions to ask."
Proposals & Pitches,Capability Deck Outline,"Outline a 10-slide capability presentation for my consulting firm. Services: [LIST]. Target clients: [DESCRIBE]. Include: who we are, problems we solve, our approach, services overview, case studies, team, why us, and how to engage. Note talking points for each slide."
Proposals & Pitches,RFP Response Framework,"Create a framework for responding to an RFP from [ORGANIZATION TYPE] seeking [SERVICES]. Include: how to structure the response, key sections to address, how to differentiate from competitors, pricing strategy, and common mistakes to avoid."
Proposals & Pitches,Retainer Proposal,"Write a retainer proposal for ongoing advisory services to [CLIENT]. Services included: [LIST]. Monthly hours: [X]. Monthly fee: $[AMOUNT]. Include: what's included, how hours work, communication expectations, rollover policy, and term length. Position as partnership."
Client Deliverables,Assessment Report,"Create an assessment report structure for evaluating [CLIENT]'s [AREA: operations/marketing/finance/HR]. Include: executive summary, methodology, current state findings, gap analysis, prioritized recommendations, implementation roadmap, and appendix. Provide sample content for each section."
Client Deliverables,Strategic Recommendations,"Write strategic recommendations for [CLIENT] facing [CHALLENGE]. Context: [BACKGROUND]. Present 3-5 recommendations, each with: description, rationale, expected impact, effort/cost estimate, and risks. Prioritize by impact vs. effort. Executive-friendly format."
Client Deliverables,Implementation Roadmap,"Create a [X]-month implementation roadmap for [CLIENT] to achieve [GOAL]. Break into phases with: objectives, key activities, milestones, owners, and success metrics. Include dependencies and critical path. Format as a visual timeline description."
Client Deliverables,KPI Dashboard Design,"Design a KPI dashboard for [CLIENT]'s [DEPARTMENT/FUNCTION]. Business goal: [DESCRIBE]. Include: 5-7 key metrics with definitions, targets, data sources, update frequency, and visualization recommendations. Explain why each metric matters to their goal."
Client Deliverables,Process Improvement Document,"Document a process improvement for [PROCESS NAME] at [CLIENT]. Current state: [DESCRIBE ISSUES]. Proposed future state: [DESCRIBE]. Include: process map description, specific changes, expected efficiency gains, implementation steps, and change management notes."
Client Deliverables,Competitive Analysis,"Create a competitive analysis for [CLIENT] in the [INDUSTRY] space. Competitors: [LIST 3-5]. Analyze: positioning, strengths, weaknesses, pricing (if known), and market share. Identify opportunities for [CLIENT] to differentiate. Format as a comparison matrix with narrative insights."
Client Deliverables,Business Case,"Write a business case for [INITIATIVE] at [CLIENT]. Include: problem statement, proposed solution, options considered, cost-benefit analysis, ROI projection, risks and mitigations, and recommendation. Make it compelling for executive approval."
Client Deliverables,Meeting Facilitation Guide,"Create a facilitation guide for a [WORKSHOP TYPE: strategy session/planning meeting/problem-solving workshop] with [CLIENT]. Duration: [X] hours. Objectives: [LIST]. Include: agenda, facilitation notes for each section, discussion questions, exercises, and desired outputs."
Client Deliverables,Change Management Plan,"Create a change management plan for [CLIENT] implementing [CHANGE]. Include: stakeholder analysis, communication plan, training needs, resistance management, success metrics, and timeline. Address the people side, not just the technical side."
Client Deliverables,Final Engagement Report,"Write an outline for a final engagement report for [CLIENT]. Project: [DESCRIBE]. Include: executive summary, engagement overview, work completed, findings and insights, recommendations delivered, results achieved, lessons learned, and suggested next steps."
Thought Leadership,LinkedIn Article,"Write a LinkedIn article about [TOPIC] for my audience of [TARGET: CEOs/founders/HR leaders/etc.]. Include: attention-grabbing hook, the problem/opportunity, my perspective with supporting points, actionable takeaways, and engagement-driving conclusion. 600-800 words. Professional but accessible tone."
Thought Leadership,Case Study,"Write a case study about my work with [CLIENT/INDUSTRY]. Situation: [CHALLENGE THEY FACED]. Solution: [WHAT I DID]. Results: [OUTCOMES - quantify if possible]. Format: situation-solution-results. Include a pull quote from client (I'll get their actual quote). 400-500 words."
Thought Leadership,Email Newsletter,"Write a newsletter for my email list of [AUDIENCE]. Topic: [SUBJECT]. Include: engaging opening, main insight or lesson, practical application, and CTA (reply, share, or book a call). Keep it under 400 words. Conversational tone, like writing to a smart friend."
Thought Leadership,Speaking Topic Pitch,"Create a speaking topic pitch for conferences/events in the [INDUSTRY] space. Topic: [YOUR EXPERTISE]. Include: session title options, session description (50 words), key takeaways (3-4), and speaker bio (100 words). Make it clear what attendees will learn."
Thought Leadership,Podcast Guest Pitch,"Write a pitch to be a guest on podcasts in the [INDUSTRY/TOPIC] space. My expertise: [DESCRIBE]. Unique angle: [WHAT MAKES YOUR PERSPECTIVE DIFFERENT]. Include: 3 topic ideas with brief descriptions, brief bio, and why their audience would care."
Thought Leadership,Webinar Outline,"Create an outline for a 45-minute webinar titled ""[TITLE]"" for [TARGET AUDIENCE]. Structure: hook (2 min), intro/credibility (3 min), main content with 3-4 key points (30 min), Q&A (8 min), CTA (2 min). Include slide suggestions and engagement tactics."
Thought Leadership,Framework/Model Introduction,"Help me articulate my [FRAMEWORK/MODEL NAME] for [WHAT IT SOLVES]. The components are: [LIST]. Write a clear explanation of the framework, how to apply it, and why it works. Format it for a blog post or speaker one-sheet. Make it memorable."
Thought Leadership,Industry Trend Analysis,"Write an analysis of [TREND] affecting [INDUSTRY] for my thought leadership content. Include: what the trend is, why it matters now, implications for businesses, and how smart leaders should respond. Provide specific, actionable insights. Position me as a forward-thinking expert."
Thought Leadership,Contrarian Take Post,"Write a LinkedIn post sharing a contrarian perspective on [COMMON BELIEF IN MY INDUSTRY]. My take: [YOUR CONTRARY OPINION]. Structure: provocative opening, acknowledge the common view, present my counter-argument with evidence/experience, conclude with nuance. Spark conversation without being inflammatory."
Thought Leadership,Book Summary + Application,"Write a post summarizing the key ideas from [BOOK TITLE] by [AUTHOR] and how [TARGET AUDIENCE] can apply them. Include: 3-4 main concepts, practical applications for their work, and my personal take on the book's value. 500 words."
Client Management,Project Kickoff Email,"Write a project kickoff email to [CLIENT CONTACT] for our engagement starting [DATE]. Include: excitement to begin, confirmation of scope, kickoff meeting logistics, what they need to prepare, who should attend, and my contact info. Set the tone for a great partnership."
Client Management,Status Update Template,"Create a weekly status update template for consulting projects. Sections: accomplishments this week, upcoming activities, decisions needed from client, risks/issues, and hours/budget tracking. Keep it concise but complete. Format for easy scanning."
Client Management,Difficult Conversation Script,"Help me prepare for a difficult conversation with [CLIENT] about [ISSUE: scope creep/missed deadlines/quality concerns/payment]. Provide: how to open the conversation, key points to make, how to stay solution-focused, and how to preserve the relationship. Professional but direct."
Client Management,Scope Creep Email,"Write an email addressing scope creep with [CLIENT]. They've requested [ADDITIONAL WORK] beyond our agreed scope. Options: decline gracefully, accommodate as a favor, or propose a change order. I want to: [YOUR PREFERENCE]. Keep the relationship positive while protecting boundaries."
Client Management,Meeting Recap Email,"Write a meeting recap email for the meeting with [CLIENT] on [DATE]. Attendees: [LIST]. Topics discussed: [LIST]. Decisions made: [LIST]. Action items: [LIST WITH OWNERS AND DUE DATES]. Next meeting: [DATE]. Keep it factual and actionable."
Client Management,Delay Notification,"Write an email to [CLIENT] notifying them of a delay on [DELIVERABLE]. Original due date: [DATE]. New date: [DATE]. Reason: [EXPLAIN]. What I'm doing to mitigate: [ACTIONS]. Apologize appropriately without over-apologizing. Maintain confidence."
