Category,Prompt Name,Prompt Template
Appointment & Booking,Appointment Confirmation,"Write a friendly appointment confirmation message for [CLIENT NAME] booked for [SERVICE] on [DATE] at [TIME]. Include: service duration ([X] minutes), arrival time (10 min early), parking info if relevant, what to bring/prepare, and cancellation policy reminder. Warm and professional."
Appointment & Booking,Appointment Reminder (24 Hours),"Write a 24-hour reminder message for [CLIENT NAME] coming in for [SERVICE] tomorrow at [TIME]. Include: brief prep instructions for [SERVICE TYPE], reminder to arrive [X] minutes early, and how to reschedule if needed. Keep it concise for text/SMS."
Appointment & Booking,Booking Follow-Up (No-Show),"Write a caring message to [CLIENT NAME] who missed their appointment on [DATE]. Don't guilt-trip. Express concern, remind them of my cancellation policy (if charging), and invite them to rebook. Keep the relationship intact."
Appointment & Booking,Waitlist Opening,"Write a message to waitlisted clients that an appointment opened up: [SERVICE] on [DATE] at [TIME]. Create urgency (first-come basis) without pressure. Include how to book and who to contact. Make it exciting, not desperate."
Appointment & Booking,New Client Welcome,"Write a welcome message for a new client [NAME] who just booked their first appointment for [SERVICE] on [DATE]. Include: what to expect, consultation process, parking/location details, and your excitement to meet them. Set a positive first impression."
Appointment & Booking,Rebooking Reminder,"Write a friendly reminder to [CLIENT NAME] who was in [X] weeks ago for [SERVICE]. It's time to rebook! Include: recommended rebooking timeframe for their service, available slots this week/next, and easy booking link. Not pushy, just helpful."
Appointment & Booking,Seasonal Booking Push,"Write a message encouraging clients to book ahead for [HOLIDAY/SEASON - e.g., prom, wedding season, holidays]. Explain why booking early matters (availability, prep time). Include: available services, deadline to book, and how to secure their spot."
Appointment & Booking,Package/Series Rebooking,"Write a message to [CLIENT NAME] who has [X] sessions remaining on their [PACKAGE NAME]. Remind them to use their sessions before [EXPIRATION DATE if applicable]. Suggest booking the remaining appointments now. Make it helpful, not salesy."
Appointment & Booking,Birthday Booking Offer,"Write a birthday message to [CLIENT NAME] offering a special birthday treat: [OFFER - e.g., 20% off, free add-on service]. Valid for [TIMEFRAME]. Make them feel special and appreciated. Include booking CTA."
Appointment & Booking,Cancellation Policy Explanation,"Write a clear, professional explanation of my cancellation policy to include in booking confirmations. Policy: [DESCRIBE - e.g., 24 hours notice required, late cancel fee $X, no-show fee $X]. Explain the reasoning kindly. Firm but not harsh."
Aftercare & Education,Post-Service Aftercare Instructions,"Write aftercare instructions for [SERVICE: e.g., hair color, lash extensions, facial, waxing, microblading]. Include: immediate care (first 24-48 hours), products to use/avoid, activities to avoid, when to expect results to settle, and when to come back. Clear and thorough."
Aftercare & Education,Hair Color Aftercare,"Write hair color aftercare instructions for a client who just got [COLOR SERVICE: highlights, balayage, all-over color, vivid colors]. Include: when to first wash, recommended products, how to extend color life, heat styling tips, and rebooking timeline."
Aftercare & Education,Lash Extension Aftercare,"Write comprehensive lash extension aftercare for a new lash client. Include: first 24-48 hours rules, daily care routine, what products to avoid, sleeping tips, how to clean them, when to come for fills, and signs of a reaction to watch for."
Aftercare & Education,Skincare Treatment Aftercare,"Write post-facial/treatment aftercare for [TREATMENT: chemical peel, microneedling, dermaplaning, LED therapy]. Include: what to expect (redness, sensitivity), products to use and avoid, sun protection requirements, makeup timing, and follow-up treatment schedule."
Aftercare & Education,Waxing Aftercare,"Write waxing aftercare instructions for [AREA: Brazilian, brows, legs, underarms]. Include: what to avoid (heat, friction, products), how to prevent ingrowns, soothing recommendations, and when to rebook (typically [X] weeks)."
Aftercare & Education,Product Recommendation,"Write a personalized product recommendation for [CLIENT NAME] based on their [CONCERN: dry hair, oily skin, aging, acne, etc.]. Recommend [X] products from [BRAND/LINE]: explain what each does, how to use it, and why it addresses their specific needs."
Aftercare & Education,At-Home Maintenance Tips,"Write at-home maintenance tips for clients between appointments. Service: [SERVICE TYPE]. Include: daily care routine, weekly treatments, products to invest in, what to avoid, and how to extend their results. Empower them without making them feel they don't need you."
Aftercare & Education,Skin/Hair Consultation Summary,"Write a consultation summary for [CLIENT NAME]. Concerns discussed: [LIST]. Current routine: [DESCRIBE]. Recommendations: [LIST - services and products]. Treatment plan: [PROPOSED SCHEDULE]. Make it a useful reference document they can keep."
Aftercare & Education,Pre-Service Preparation Instructions,"Write prep instructions for a client coming in for [SERVICE - e.g., spray tan, waxing, lash lift, brow lamination]. What to do before: [INSTRUCTIONS]. What to avoid: [LIST]. What to wear: [SUGGESTIONS]. What to expect: [BRIEF]. Help them get the best results."
Aftercare & Education,FAQ Document for New Clients,"Create a FAQ document for new clients. Answer the most common questions about: booking and policies, what to expect at first visit, payment options, tipping etiquette, parking, and how to prepare. Keep it friendly and informative."
Reviews & Testimonials,Review Request (Post-Service),"Write a review request message to send [CLIENT NAME] after their appointment. Timing: send [X] hours/days after service. Include: genuine thanks, brief mention of the service, simple ask for a review, and direct link to [GOOGLE/YELP/FACEBOOK]. Make it easy and not awkward."
Reviews & Testimonials,Google Review Request,"Write a short, friendly Google review request specifically. Include: direct link placeholder, brief instructions for those unfamiliar with leaving reviews, and why reviews help small businesses like mine. Keep it under 100 words for text/email."
Reviews & Testimonials,Review Response (Positive),"Write a response to this positive review: ""[REVIEW TEXT]"". Thank them genuinely, reference something specific from their review, and invite them back. Professional but warm. Show personality without being over the top."
Reviews & Testimonials,Review Response (Negative),"Write a professional response to this negative review: ""[REVIEW TEXT]"". Acknowledge their experience, apologize appropriately (without admitting fault if disputed), offer to make it right, and take the conversation offline. Stay calm and solution-focused."
Reviews & Testimonials,Testimonial Request,"Write a request to [CLIENT NAME] who has been a loyal client for [X] months/years asking for a testimonial I can use on my website/social media. Make it easy: offer to write something based on their feedback for their approval, or provide guiding questions."
Reviews & Testimonials,Before/After Permission Request,"Write a message asking [CLIENT NAME] for permission to share their [SERVICE] before/after photos on social media. Explain: how I'll use them, that I can keep them anonymous if preferred, and that I'd tag them only with permission. Make it feel flattering, not transactional."
Reviews & Testimonials,Review Incentive Announcement,"Write an announcement about a review incentive program: clients who leave a review get [INCENTIVE - e.g., $10 off next service, entry into monthly drawing]. Include: where to leave reviews, how to claim incentive, and time period. Keep it compliant with platform rules."
Reviews & Testimonials,Collecting Client Stories,"Write a message to longtime clients asking them to share their experience/story for my website. Include: guiding questions (why they started coming, favorite service, how they feel after appointments), and reassurance that a few sentences is plenty."
Marketing & Social Media,Instagram Service Showcase Post,"Write an Instagram post showcasing [SERVICE]. Include: what the service is, who it's for, transformation it provides, duration and price (optional), and booking CTA. Add relevant hashtags for [CITY] beauty services. Keep it engaging, not just informational."
Marketing & Social Media,Before & After Post,"Write an engaging caption for a before/after transformation post. Service: [SERVICE]. Transformation: [DESCRIBE THE CHANGE]. Include: what the client wanted, how we achieved it, and products/techniques used. Make followers want the same results. Hashtags included."
